id,kanji,hiragana,meaning
word_940,挨拶,あいさつ,인사
word_941,謝る,あやまる,사과하다
word_942,一度,いちど,한번
word_943,受ける,うける,시험을 치다
word_944,嬉しい,うれしい,기쁘다
word_945,エレベーター,えれべーたー,엘리베이터
word_946,おかげさまで,おかげさまで,덕분에
word_947,お見舞い,おみまい,병문안
word_948,お礼,おれい,사례,감사
word_949,甘い,あまい,달다
word_950,アルバイト,あるばいと,아르바이트
word_951,祈る,いのる,빌다,기도하다
word_952,内,うち,안,범위
word_953,エスカレーター,えすかれーたー,에스컬레이터
word_954,おかえりなさい,おかえりなさい,다녀오세요
word_955,教える,おしえる,가르치다
word_956,お土産,おみやげ,선물
word_957,かける,かける,걸다
word_958,悲しい,かなしい,슬프다
word_959,借りる,かりる,빌리다
word_960,機会,きかい,기회
word_961,季節,きせつ,계절
word_962,厳しい,きびしい,엄격하다
word_963,結構だ,けっこうだ,괜찮다
word_964,故障する,こしょうする,고장나다
word_965,怖い,こわい,무섭다
word_966,ガソリンスタンド,がそりんすたんど,주유소
word_967,必ず,かならず,반드시
word_968,看護婦,かんごふ,간호사
word_969,危険だ,きけんだ,위험하다
word_970,規則,きそく,규칙
word_971,くださる,くださる,주시다
word_972,声,こえ,목소리
word_973,壊れる,こわれる,부서지다
word_974,盛んだ,さかんだ,번성하다
word_975,残念だ,ざんねんだ,아쉽다
word_976,しばらく,しばらく,잠시
word_977,出席,しゅっせき,출석
word_978,すっかり,すっかり,완전히
word_979,滑る,すべる,미끄러지다
word_980,ぜひ,ぜひ,꼭
word_981,そろそろ,そろそろ,슬슬
word_982,サンダル,さんだる,샌들
word_983,したい,したい,하고 싶다
word_984,十分だ,じゅうぶんだ,충분하다
word_985,心配だ,しんぱいだ,걱정이다
word_986,ずっと,ずっと,계속
word_987,隅,すみ,구석
word_988,それほどでもない,それほどでもない,그렇지도 않다
word_989,大事だ,だいじだ,중요하다
word_990,たまに,たまに,가끔
word_991,力,ちから,힘
word_992,特に,とくに,특히
word_993,大丈夫だ,だいじょうぶだ,괜찮다
word_994,小さい,ちいさい,작다
word_995,丁寧だ,ていねいだ,정중하다
word_996,直す,なおす,고치다
word_997,慣れる,なれる,익숙해지다
word_998,なるべく,なるべく,가능한 한
word_999,二台,にだい,두 대
word_1000,脱ぐ,ぬぐ,벗다
word_1001,乗り換える,のりかえる,갈아타다
word_1002,習う,ならう,배우다
word_1003,鳴る,なる,울리다
word_1004,二軒,にけん,두 채
word_1005,似る,にる,닮다
word_1006,眠い,ねむい,졸리다
word_1007,履きやすい,はきやすい,신기 편하다
word_1008,二十歳,はたち,스무 살
word_1009,払う,はらう,지불하다
word_1010,反対する,はんたいする,반대하다
word_1011,拾う,ひろう,줍다
word_1012,深い,ふかい,깊다
word_1013,恥ずかしい,はずかしい,부끄럽다
word_1014,働く,はたらく,일하다
word_1015,貼る,はる,붙이다
word_1016,バレーボール,ばれーぼーる,배구
word_1017,ビル,びる,빌딩
word_1018,ホテル,ほてる,호텔
word_1019,真面目だ,まじめだ,성실하다
word_1020,もらう,もらう,받다
word_1021,メートル,めーとる,미터
word_1022,安い,やすい,싸다
word_1023,休む,やすむ,쉬다
word_1024,ゆっくり,ゆっくり,천천히
word_1025,揺れる,ゆれる,흔들리다
word_1026,予習,よしゅう,예습
word_1027,やっと,やっと,겨우
word_1028,やめる,やめる,그만두다
word_1029,夢,ゆめ,꿈
word_1030,よく,よく,자주
word_1031,練習,れんしゅう,연습
word_1032,忘れる,わすれる,잊다
word_1033,悪い,わるい,나쁘다
word_1034,湧く,わく,끓다
word_1035,割れる,われる,깨지다